instrumentIdentifier,CNLP_rating
67936981TLBKH1B00184@AA4,A1
70589462TLBKH1B00184@AA4,A1
68179151TLBKH1B00191#AA3,A1
70900543TLBH 1B00191#AA3,A1
68456231TLBKH1B00193*AA5,A1
71049433TLBH 1B00193*AA5,A1
68577731TLBKH1B00225#AA3,A1
71193393TLBH 1B00225#AA3,A1
71334241TLBF 1B009098A*5,A1
51910441TLBWH1B02401@AA7,Baa3
71322601TLBH 1B03063#AB0,Baa2
71414211TLBH 1B031100P*5,Baa1
66206601TLBWH1B03980@AB2,Baa2
66206591TLBKH1B03980@AC0,Baa2
64036941TLBWH1B04317@AX6,Baa3
64560131TLBWH1B04317@AY4,Baa3
66168251TLBH 1B05279@AA9,A3
67077962TLBH 1B05279@AA9,A3
68176983TLBH 1B05279@AA9,A3
70297204TLBH 1B05279@AA9,A3
71179205TLBH 1B05279@AA9,A3
22573451TLBH 1B05279#AD1,A3
47078621TLBKH1B055262A#6,A2
47078631TLBWH1B055262A#6,A2
65909751TLBH 1B05590#AA9,A3
61705501TLBH 1B08888@AA6,Baa3
24068211TLBKH1B09951#AG1,Baa2
64268931TLBKH1B11283*AA3,Baa2
64268941TLBYH1B11283*AA3,Baa2
65840181TLBKH1B12596@AA1,A2
44291001TLBKH1B12656*AG7,A2
60906711TLBYH1B12656*AM4,A3
47711151TLBYH1B13466*AA8,Baa2
54563381TLBKH1B151895C@6,Baa2
53059371TLBKH1B15678#AJ4,A2
53059382TLBKH1B15678#AJ4,A2
55394391TLBKH1B18055#AU6,A3
47651621TLBKH1B21017#AA1,Baa3
47651631TLBYH1B21017#AA1,Baa3
47651641TLBWH1B21017#AA1,Baa3
70738221TLBS 1B210518G*1,A1
65250613TLBWH1B22357@AA9,Baa2
43133061TLBKH1B22536#AA1,Baa2
43133071TLBYH1B22536#AA1,Baa2
43133081TLBWH1B22536#AA1,Baa2
47353861TLBWH1B22959#AA9,Baa1
64938851TLBKH1B22964*AC2,Baa2
43920071TLBKH1B23157#AF6,Baa2
43920091TLBYH1B23157#AG4,Baa2
43920101TLBWH1B23157#AG4,Baa2
25396331TLBKH1B24715@AA2,A1
38340341TLBKH1B24715@AK0,A1
50989171TLBYH1B29252BAA7,A3
50989181TLBWH1B29252BAA7,A3
61427091TLBWH1B30288*AA8,Baa2
40015352TLBWH1B318069B@9,Baa1
40015361TLBYH1B318069B@9,Baa1
40015371TLBWH1B318069B@9,Baa1
31510551TLBKH1B344868AA2,A2
51788071TLBWH1B34487#AB3,A2
51788061TLBKH1B34487#AD9,A2
70298411TLBKH1B34489*AF6,A2
68047881TLBH 1B40465@AD4,Baa2
40423601TLBH 1B41242*AN2,A3
40423617TLBH 1B41242*AN2,A3
40423629TLBH 1B41242*AN2,A3
40777082TLBH 1B41242*AN2,A3
40777098TLBH 1B41242*AN2,A3
407771010TLBH 1B41242*AN2,A3
45225581TLBWH1B41242*AR3,A3
45225571TLBKH1B41242*AS1,A3
53918051TLBKH1B41242*AY8,A3
70772561TLBH 1B41242*BM3,A3
70826211TLBH 1B41242*BN1,A3
32732721TLBH 1B44569*BL4,B1
56386601TLBKH1B44919*AC2,A2
50052681TLBKH1B46361*AC0,A1
40296131TLBKH1B48121@AB7,Baa3
40296141TLBYH1B48121@AB7,Baa3
40296151TLBWH1B48121@AB7,Baa3
43017251TLBKH1B497266B*6,Baa2
43017263TLBKH1B497266B*6,Baa2
43017275TLBKH1B497266B*6,Baa2
43954882TLBKH1B497266B*6,Baa2
43954894TLBKH1B497266B*6,Baa2
43954906TLBKH1B497266B*6,Baa2
682961611TLBH 1B497266B*6,Baa2
59527861TLBKH1B55335@AA6,A3
46428101TLBKH1B56081#AS9,A2
25911941TLBKH1B57169*AM9,A2
62938921TLBYH1B57169*BL0,A2
62938931TLBWH1B57169*BL0,A2
46277252TLBYH1B607120EZ1,A2
46277261TLBYH1B607120EZ1,A2
46277271TLBWH1B607120EZ1,A2
70882191TLBH 1B62927#AP1,A1
67529931TLBH 1B67105@AF8,Baa3
23292631TLBKH1B698525AA0,Ba2
50704361TLBKH1B74170*AE9,A2
71119161TLBF 1B74170*AV1,A2
55027231TLBKH1B74986@AP6,A3
55027251TLBWH1B74986@AQ4,A3
70408131TLBKH1B74986@AY7,A3
50404351TLBKH1B76824*AV6,Baa1
49309151TLBKH1B84611#AE1,Baa2
49309162TLBKH1B84611#AE1,Baa2
49309173TLBKH1B84611#AE1,Baa2
59839491TLBWH1B84611#AF8,Baa2
53239261TLBKH1B84860*AB9,Baa3
45363491TLBKH1B85234#AB1,Baa3
45363511TLBWH1B85234#AB1,Baa3
62030181TLBS 1B86801FA*7,Baa3
51910431TLBYH1B89566EA#5,A2
51910451TLBWH1B89566EA#5,A2
51190621TLBKH1B90363@AA8,A3
60181361TLBKH1B91854*AA4,Baa1
51019491TLBYH1B92783#AA4,A3
51019501TLBWH1B92783#AA4,A3
52569581TLBYH1B97314@AA3,A3
52569591TLBWH1B97314@AA3,A3
46042511TLBH 1BC4861*AJ6,Baa2
31323871TLBKH1BG2615*AD8,Baa2
45477181TLBKH1BG9284#BD8,Baa2
41764791TLBYH1BN4282*AG1,Baa1
