rating,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Aaa, 0.00000 , 0.00000 , 0.00001 , 0.00002 , 0.00003 , 0.00004 , 0.00005 , 0.00007 , 0.00008 , 0.00010 , 0.00012 , 0.00014 , 0.00017 , 0.00019 , 0.00022 , 0.00025 , 0.00028 , 0.00031 , 0.00034 , 0.00038 , 0.00041 , 0.00045 , 0.00048 , 0.00052 , 0.00056 , 0.00060 , 0.00063 , 0.00067 , 0.00071 , 0.00075 
Aa1, 0.00001 , 0.00003 , 0.00010 , 0.00021 , 0.00031 , 0.00042 , 0.00054 , 0.00067 , 0.00082 , 0.00100 , 0.00131 , 0.00159 , 0.00191 , 0.00226 , 0.00263 , 0.00304 , 0.00348 , 0.00394 , 0.00443 , 0.00495 , 0.00549 , 0.00606 , 0.00665 , 0.00726 , 0.00790 , 0.00856 , 0.00923 , 0.00993 , 0.01064 , 0.01136 
Aa2, 0.00001 , 0.00008 , 0.00026 , 0.00047 , 0.00068 , 0.00089 , 0.00111 , 0.00135 , 0.00164 , 0.00200 , 0.00249 , 0.00304 , 0.00365 , 0.00432 , 0.00505 , 0.00583 , 0.00667 , 0.00757 , 0.00852 , 0.00952 , 0.01057 , 0.01167 , 0.01282 , 0.01401 , 0.01524 , 0.01652 , 0.01783 , 0.01918 , 0.02056 , 0.02197 
Aa3, 0.00003 , 0.00019 , 0.00059 , 0.00101 , 0.00142 , 0.00183 , 0.00227 , 0.00272 , 0.00327 , 0.00400 , 0.00644 , 0.00763 , 0.00892 , 0.01030 , 0.01177 , 0.01331 , 0.01493 , 0.01662 , 0.01838 , 0.02020 , 0.02207 , 0.02399 , 0.02596 , 0.02797 , 0.03002 , 0.03211 , 0.03422 , 0.03636 , 0.03852 , 0.04069 
A1, 0.00006 , 0.00037 , 0.00117 , 0.00189 , 0.00261 , 0.00330 , 0.00406 , 0.00480 , 0.00573 , 0.00700 , 0.01038 , 0.01222 , 0.01420 , 0.01629 , 0.01849 , 0.02079 , 0.02319 , 0.02568 , 0.02824 , 0.03087 , 0.03356 , 0.03631 , 0.03910 , 0.04193 , 0.04480 , 0.04769 , 0.05060 , 0.05353 , 0.05647 , 0.05941 
A2, 0.00011 , 0.00070 , 0.00222 , 0.00345 , 0.00467 , 0.00583 , 0.00710 , 0.00829 , 0.00982 , 0.01200 , 0.01432 , 0.01681 , 0.01947 , 0.02227 , 0.02521 , 0.02828 , 0.03145 , 0.03473 , 0.03810 , 0.04155 , 0.04506 , 0.04863 , 0.05224 , 0.05589 , 0.05957 , 0.06327 , 0.06698 , 0.07070 , 0.07442 , 0.07813 
A3, 0.00039 , 0.00150 , 0.00360 , 0.00540 , 0.00730 , 0.00910 , 0.01110 , 0.01300 , 0.01520 , 0.01800 , 0.02332 , 0.02680 , 0.03042 , 0.03418 , 0.03805 , 0.04203 , 0.04608 , 0.05021 , 0.05439 , 0.05862 , 0.06288 , 0.06716 , 0.07145 , 0.07574 , 0.08003 , 0.08431 , 0.08856 , 0.09279 , 0.09699 , 0.10115 
Baa1, 0.00090 , 0.00280 , 0.00560 , 0.00830 , 0.01100 , 0.01370 , 0.01670 , 0.01970 , 0.02270 , 0.02600 , 0.03231 , 0.03677 , 0.04137 , 0.04609 , 0.05089 , 0.05577 , 0.06071 , 0.06568 , 0.07068 , 0.07569 , 0.08069 , 0.08568 , 0.09065 , 0.09559 , 0.10048 , 0.10533 , 0.11013 , 0.11487 , 0.11955 , 0.12417 
Baa2, 0.00170 , 0.00470 , 0.00830 , 0.01200 , 0.01580 , 0.01970 , 0.02410 , 0.02850 , 0.03240 , 0.03600 , 0.04131 , 0.04675 , 0.05232 , 0.05799 , 0.06373 , 0.06952 , 0.07533 , 0.08116 , 0.08697 , 0.09276 , 0.09851 , 0.10421 , 0.10985 , 0.11543 , 0.12094 , 0.12636 , 0.13170 , 0.13696 , 0.14212 , 0.14719 
Baa3, 0.00420 , 0.01050 , 0.01710 , 0.02380 , 0.03050 , 0.03700 , 0.04330 , 0.04970 , 0.05570 , 0.06100 , 0.07697 , 0.08488 , 0.09274 , 0.10052 , 0.10821 , 0.11577 , 0.12321 , 0.13051 , 0.13766 , 0.14466 , 0.15150 , 0.15817 , 0.16469 , 0.17104 , 0.17723 , 0.18326 , 0.18913 , 0.19484 , 0.20040 , 0.20581 
