instrumentIdentifier,SeniorityAndSecurity
41679431LUL0 0700003#AB9,SeniorUnsecuredBond
41679451LEQ0 1000003#AB9,SeniorUnsecuredBond
41679452LUL0 1000003#AB9,SeniorUnsecuredBond
41679453LUL0 1000003#AB9,SeniorUnsecuredBond
41679591LTRL 0700003#AB9,SeniorUnsecuredBond
41679312ESPS 1000003#AC7,SeniorUnsecuredBond
41679322ESPS 0700003#AC7,SeniorUnsecuredBond
41679323ESPS 0700003#AC7,SeniorUnsecuredBond
41679324ESPS 0700003#AC7,SeniorUnsecuredBond
41679325ESPS 0700003#AC7,SeniorUnsecuredBond
41679421LEQ0 1C00003#AC7,SeniorUnsecuredBond
41679441LUL0 0700003#AC7,SeniorUnsecuredBond
41679461HHE0 1000003#AC7,SeniorUnsecuredBond
41679581LULI 0700003#AC7,SeniorUnsecuredBond
41679601LTRL 0700003#AC7,SeniorUnsecuredBond
41679301LULA 0700003#AD5,SeniorUnsecuredBond
40381391LTRL 0700037BAB8,SeniorUnsecuredBond
67572971NMS0 1Y00037BAE2,SeniorUnsecuredBond
67572981APD0 07 200037BAE2,SeniorUnsecuredBond
67573011LEQ0 1000037BAE2,SeniorUnsecuredBond
67572991LUL1 0700037BAF9,SeniorUnsecuredBond
67573001LEQ5 2600037BAF9,SeniorUnsecuredBond
55316911FMD1 0700080QAF2,SubordinateBond
55317081FMDM 0700080QAF2,SubordinateBond
55317271NMS0 5D 100080QAF2,SubordinateBond
55317372NMS0 0700080QAF2,SubordinateBond
56640492LTRL 0700080QAF2,SubordinateBond
56640501ESPS 1000080QAF2,SubordinateBond
56640541LUL0 1P00080QAF2,SubordinateBond
56640553FMD1 0700080QAF2,SubordinateBond
56640681NMS0 L200080QAF2,SubordinateBond
56640691LTRL 0700080QAF2,SubordinateBond
56640792LUL0 0700080QAF2,SubordinateBond
36337011LEQ0 2600103YAF8,SeniorSecuredBond
3997971ESPL 0700103YAF8,SeniorSecuredBond
46097561NMS0 07001055AD4,SeniorUnsecuredBond
46097562NMS0 L6001055AD4,SeniorUnsecuredBond
32838581HLT0 26001055AF9,SeniorUnsecuredBond
32838611LTRI 07001055AF9,SeniorUnsecuredBond
32838803FMD3 2CG2001055AF9,SeniorUnsecuredBond
32839331LUL0 10001055AF9,SeniorUnsecuredBond
39367951HLTB 26001055AJ1,SeniorUnsecuredBond
39367961HLT1 26001055AJ1,SeniorUnsecuredBond
39367973HLTB 26001055AJ1,SeniorUnsecuredBond
39367982HLTB 26001055AJ1,SeniorUnsecuredBond
61343111NMS0 L5 R00115AAE9,SeniorUnsecuredBond
65553151REA4 07DE00115AAE9,SeniorUnsecuredBond
28910541ESPS 07001192AG8,SeniorUnsecuredBond
28935651FMD1 10001192AG8,SeniorUnsecuredBond
28935712FMD5 07001192AG8,SeniorUnsecuredBond
28935714FMD5 07001192AG8,SeniorUnsecuredBond
28935715FMD5 07001192AG8,SeniorUnsecuredBond
64107511ESPL 0700122@AA9,SeniorUnsecuredBond
64107791ESPL 1000122@AA9,SeniorUnsecuredBond
64107891LEQ0 2600122@AA9,SeniorUnsecuredBond
64108723HLT0 2600122@AA9,SeniorUnsecuredBond
64833942ESPL 0700122@AA9,SeniorUnsecuredBond
64834072ESPL 1000122@AA9,SeniorUnsecuredBond
64834122LEQ0 2600122@AA9,SeniorUnsecuredBond
64835912HLT0 2600122@AA9,SeniorUnsecuredBond
65983083ESPL 0700122@AA9,SeniorUnsecuredBond
65983143ESPL 1000122@AA9,SeniorUnsecuredBond
65983181LTR0 2600122@AA9,SeniorUnsecuredBond
65983383HLTM 0700122@AA9,SeniorUnsecuredBond
67191784ESPL 0700122@AA9,SeniorUnsecuredBond
67191864ESPL 1000122@AA9,SeniorUnsecuredBond
67191924LUL0 2600122@AA9,SeniorUnsecuredBond
67192724HLTM 0700122@AA9,SeniorUnsecuredBond
68320185ESPL 0700122@AA9,SeniorUnsecuredBond
68320295ESPL 1000122@AA9,SeniorUnsecuredBond
68320345LUL0 2600122@AA9,SeniorUnsecuredBond
68320985HLTM 0700122@AA9,SeniorUnsecuredBond
70410146ESPL 0700122@AA9,SeniorUnsecuredBond
70410156ESPL 1000122@AA9,SeniorUnsecuredBond
70410216LUL0 2600122@AA9,SeniorUnsecuredBond
70410326HLTM 0700122@AA9,SeniorUnsecuredBond
71307557ESPL 0700122@AA9,SeniorUnsecuredBond
71307617ESPL 1000122@AA9,SeniorUnsecuredBond
71307637LUL0 2600122@AA9,SeniorUnsecuredBond
71307807HLTM 0700122@AA9,SeniorUnsecuredBond
49146871HLTB 2600131L2B0,SeniorUnsecuredBond
49146882HLTB 2600131L2B0,SeniorUnsecuredBond
43565771HLT0 2600139PAA6,SeniorSecuredBond
43565801LUL0 1P00139PAA6,SeniorSecuredBond
60505651TXA1 1Y00182EBB4,SeniorUnsecuredBond
67937001LTRL 0700184@AA4,SeniorUnsecuredBond
67937021NMS0 0700184@AA4,SeniorUnsecuredBond
70589572LTRL 0700184@AA4,SeniorUnsecuredBond
70589692NMS0 0700184@AA4,SeniorUnsecuredBond
29121771FMD5 1000184AAC9,SeniorUnsecuredBond
29121961HLT0 2600184AAC9,SeniorUnsecuredBond
29143582ESPL 0700184AAC9,SeniorUnsecuredBond
28910553HLT0 2600184AAG0,SeniorUnsecuredBond
29143571FMD5 1000184AAG0,SeniorUnsecuredBond
29143604HLT0 2600184AAG0,SeniorUnsecuredBond
29264281ESPL 1000184AAG0,SeniorUnsecuredBond
29413431HLT0 2600184AAG0,SeniorUnsecuredBond
29413481FMD5 0700184AAG0,SeniorUnsecuredBond
29414151FMDR 2600184AAG0,SeniorUnsecuredBond
29426212HLT0 2600184AAG0,SeniorUnsecuredBond
29426275HLT0 2600184AAG0,SeniorUnsecuredBond
54461041LTRM 2600185AAB0,SeniorUnsecuredBond
48503951HLTB 2600185AAD6,SeniorUnsecuredBond
54462311LTR0 1000185AAH7,SeniorUnsecuredBond
54462331LTRM 2600185AAH7,SeniorUnsecuredBond
68179371LTRL 0700191#AA3,SeniorUnsecuredBond
68179611NMS0 0700191#AA3,SeniorUnsecuredBond
70901012LTRL 0700191#AA3,SeniorUnsecuredBond
70901242NMS0 0700191#AA3,SeniorUnsecuredBond
68284771ESPS 1000191@AA5,SeniorUnsecuredBond
